iso-a3,gcbr-index,zoonotic,zoonotic-risk-burden,zoonotic-mitigating-countermeasures,zoonotic-1.1,zoonotic-1.2,zoonotic-2.1,zoonotic-2.3,zoonotic-3.1,zoonotic-3.2,lab-leak,lab-leak-risk-burden,lab-leak-mitigating-countermeasures,lab-leak-1.1,lab-leak-1.2,lab-leak-1.3,lab-leak-2.1,lab-leak-3.1,lab-leak-3.2,lab-leak-3.3,lab-leak-3.4,lab-leak-3.5,lab-leak-4.1,lab-leak-4.2,lab-leak-5.1
ISL,0.008931161,0.007381985,0.014208582,0.480455904,0,0,25,80,21,67,0.010480337,0.01139167,0.08,0,0,0,0,20,0,0,100,0,0,0,0
IND,19.49058333,26.30506031,50.62447537,0.480388486,100,1,75,80,4,33,12.67610634,13.77837646,0.08,26,20,35,0,20,0,0,0,100,0,0,0
IDN,3.296678931,6.577242936,11.41493251,0.423803607,5,18,75,60,1,33,0.016114926,0.017516224,0.08,0,0,0,0,20,0,0,0,100,0,0,0
IRN,0.308043341,0.60425133,1.053708521,0.426547933,2,0,50,80,7,33,0.011835353,0.015710645,0.246666667,0,0,0,0,20,0,0,100,0,100,0,0
IRQ,0.19651568,0.39303136,0.468883205,0.1617713,1,0,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRL,0.066219099,0.005106806,0.014208582,0.64058296,0,0,50,80,26,100,0.127331392,0.185434065,0.313333333,0,0,0,0,20,0,0,100,100,100,0,0
ISR,0.183481605,0.011589605,0.014208582,0.184323617,0,0,0,0,7,67,0.355373606,0.438732847,0.19,0,0,0,1,60,0,0,100,0,50,0,0
ITA,1.995452865,0.65870977,1.335177359,0.506649985,1,2,75,80,14,33,3.332195961,4.852712564,0.313333333,12,9,3,2,20,0,0,100,100,100,0,0
JAM,0.007998146,0.01011672,0.014208582,0.287985222,0,0,0,80,2,33,0.005879572,0.005879572,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,2.564638663,1.174492976,2.592118106,0.546898356,3,2,75,100,10,33,3.95478435,4.98502229,0.206666667,14,14,0,1,60,0,0,0,0,100,0,0
JOR,0.652683217,1.305366433,1.972194798,0.338114858,0,4,50,80,5,0,0,0,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
KAZ,0.039156427,0.078312854,0.223312498,0.649312715,0,0,50,80,96,33,0,0,0.413333333,0,0,0,0,20,0,0,0,100,100,100,0
KEN,1.082277813,1.970903126,3.054712083,0.354799054,4,2,25,80,4,33,0.1936525,0.232382999,0.166666667,0,0,0,0,0,0,0,0,0,0,100,0
KIR,0.006393862,0.012787724,0.014208582,0.1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KWT,0.012131746,0.011204415,0.014208582,0.211433244,0,0,0,80,5,0,0.013059077,0.015925703,0.18,0,0,0,0,20,0,0,0,0,100,0,0
KGZ,0.005010038,0.010020077,0.014208582,0.294786996,0,0,50,40,28,0,0,0,0.066666667,0,0,0,0,0,0,0,0,100,0,0,0
LAO,2.369184092,3.754974705,5.015292789,0.251295016,0,10,0,80,21,0,0.983393478,0.996682579,0.013333333,3,0,3,0,20,0,0,0,0,0,0,0
LVA,0.119559439,0.233383821,0.46019777,0.492861903,0,1,50,80,34,33,0.005735057,0.008517411,0.326666667,0,0,0,0,40,0,0,100,100,100,0,0
LBN,0.008980508,0.009590793,0.014208582,0.325,0,0,50,80,0,0,0.008370224,0.008370224,0,0,0,0,0,0,0,0,0,0,0,0,0
LSO,0.006393862,0.012787724,0.014208582,0.1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,0.162568583,0.325137166,0.53083619,0.3875,0,1,75,80,0,0,0,0,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
LBY,0.006038647,0.012077295,0.014208582,0.15,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIE,0.003330601,0.006661202,0.014208582,0.531184604,0,0,50,80,16,67,0,0,0.15,0,0,0,0,0,0,0,100,0,50,0,0
LTU,0.125442753,0.244343212,0.596018809,0.590041106,0,1,50,80,39,67,0.006542294,0.00766675,0.146666667,0,0,0,0,20,0,0,100,100,0,0,0
